"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
Indonesia,6009486,3840,155000,118,5742931.0,7876.0,111555.0,2771,21574.0,556.0,91894843,329898,278554917,Asia
Poland,5957934,5736,115040,101,5315444.0,11174.0,527450.0,323,157724.0,3045.0,35591635,942213,37774497,Europe
Mexico,5654311,2758,322845,84,4953318.0,2632.0,378148.0,4798,43068.0,2459.0,15543430,118391,131289160,North America
Ukraine,4964242,2525,107918,24,,,,177,114709.0,2494.0,19521252,451080,43276687,Europe
Australia,4453921,67379,5962,34,3966973.0,59055.0,480986.0,100,171209.0,229.0,66410932,2552839,26014535,Australia/Oceania
Malaysia,4183359,15941,34939,33,3941829.0,21186.0,206591.0,275,126434.0,1056.0,56113819,1695932,33087299,Asia
Israel,3904305,10164,10485,0,3782095.0,0.0,111725.0,278,418647.0,1124.0,41373364,4436346,9326000,Asia
Czechia,3808129,8909,39660,26,3700657.0,3592.0,67812.0,94,354457.0,3692.0,54650278,5086801,10743545,Europe
Belgium,3807447,0,30747,0,3518510.0,0.0,258190.0,163,326053.0,2633.0,32719965,2801997,11677374,Europe
Austria,3805155,34743,15812,48,3415869.0,44120.0,373474.0,245,418342.0,1738.0,175247380,19266846,9095800,Europe
South Africa,3717067,1677,100020,44,3603348.0,1097.0,13699.0,546,61328.0,1650.0,23809344,392833,60609361,Africa
Philippines,3677918,302,59125,87,3578387.0,954.0,40406.0,289,32804.0,527.0,28914641,257895,112117927,Asia
Thailand,3600787,25389,25048,87,3331370.0,26084.0,244369.0,1496,51363.0,357.0,17270775,246357,70104692,Asia
Peru,3546696,613,212207,28,,,,477,105023.0,6284.0,28675909,849135,33770724,South America
Portugal,3534003,0,21545,0,,,,64,348350.0,2124.0,39970994,3939975,10144986,Europe
Switzerland,3472929,13617,13708,7,2779449.0,9320.0,679772.0,141,396239.0,1564.0,20248185,2310190,8764729,Europe
